113410.19, 5350.1402912, N, 1738.7754038, E, Depth: 2.05, X: -156.191, Y: -81.268
113410.24, 5350.1402396, N, 1738.7753654, E, Depth: 2.05, X: -156.287, Y: -81.31
113410.29, 5350.1401874, N, 1738.7753270, E, Depth: 2.05, X: -156.383, Y: -81.352
113410.34, 5350.1401364, N, 1738.7752880, E, Depth: 2.06, X: -156.478, Y: -81.395
113410.39, 5350.1400854, N, 1738.7752496, E, Depth: 2.06, X: -156.573, Y: -81.437
113410.44, 5350.1400338, N, 1738.7752112, E, Depth: 2.06, X: -156.669, Y: -81.479
113410.49, 5350.1399822, N, 1738.7751728, E, Depth: 2.06, X: -156.764, Y: -81.521
113410.54, 5350.1399306, N, 1738.7751368, E, Depth: 2.07, X: -156.86, Y: -81.561
113410.59, 5350.1398790, N, 1738.7750996, E, Depth: 2.07, X: -156.956, Y: -81.601
113410.64, 5350.1398274, N, 1738.7750630, E, Depth: 2.07, X: -157.052, Y: -81.642
113410.69, 5350.1397758, N, 1738.7750264, E, Depth: 2.07, X: -157.147, Y: -81.682
113410.74, 5350.1397230, N, 1738.7749874, E, Depth: 2.07, X: -157.245, Y: -81.725
113410.79, 5350.1396708, N, 1738.7749490, E, Depth: 2.07, X: -157.342, Y: -81.767
113410.84, 5350.1396186, N, 1738.7749106, E, Depth: 2.07, X: -157.438, Y: -81.809
113410.89, 5350.1395670, N, 1738.7748728, E, Depth: 2.07, X: -157.535, Y: -81.851
113410.94, 5350.1395148, N, 1738.7748338, E, Depth: 2.08, X: -157.632, Y: -81.893
113410.99, 5350.1394626, N, 1738.7747948, E, Depth: 2.08, X: -157.728, Y: -81.936
113411.04, 5350.1394104, N, 1738.7747564, E, Depth: 2.08, X: -157.825, Y: -81.978
113411.09, 5350.1393588, N, 1738.7747180, E, Depth: 2.08, X: -157.921, Y: -82.02
113411.14, 5350.1393066, N, 1738.7746802, E, Depth: 2.09, X: -158.017, Y: -82.062
113411.19, 5350.1392550, N, 1738.7746424, E, Depth: 2.09, X: -158.113, Y: -82.103
113411.24, 5350.1392028, N, 1738.7746046, E, Depth: 2.09, X: -158.21, Y: -82.145
113411.29, 5350.1391512, N, 1738.7745662, E, Depth: 2.09, X: -158.306, Y: -82.187
113411.34, 5350.1390990, N, 1738.7745290, E, Depth: 2.1, X: -158.403, Y: -82.228
113411.39, 5350.1390468, N, 1738.7744918, E, Depth: 2.1, X: -158.499, Y: -82.269
113411.44, 5350.1389952, N, 1738.7744540, E, Depth: 2.1, X: -158.595, Y: -82.31
113411.49, 5350.1389430, N, 1738.7744168, E, Depth: 2.1, X: -158.692, Y: -82.351
113411.54, 5350.1388908, N, 1738.7743784, E, Depth: 2.1, X: -158.789, Y: -82.393
113411.59, 5350.1388392, N, 1738.7743406, E, Depth: 2.1, X: -158.885, Y: -82.434
113411.64, 5350.1387870, N, 1738.7743028, E, Depth: 2.1, X: -158.982, Y: -82.476
113411.69, 5350.1387348, N, 1738.7742644, E, Depth: 2.1, X: -159.078, Y: -82.518
113411.74, 5350.1386826, N, 1738.7742266, E, Depth: 2.11, X: -159.175, Y: -82.56
113411.79, 5350.1386304, N, 1738.7741882, E, Depth: 2.11, X: -159.272, Y: -82.602
113411.84, 5350.1385776, N, 1738.7741498, E, Depth: 2.11, X: -159.369, Y: -82.644
113411.89, 5350.1385254, N, 1738.7741120, E, Depth: 2.11, X: -159.466, Y: -82.686
113411.94, 5350.1384744, N, 1738.7740748, E, Depth: 2.11, X: -159.561, Y: -82.726
113411.99, 5350.1384228, N, 1738.7740370, E, Depth: 2.11, X: -159.657, Y: -82.767
113412.04, 5350.1383712, N, 1738.7739998, E, Depth: 2.11, X: -159.753, Y: -82.808
113412.09, 5350.1383196, N, 1738.7739626, E, Depth: 2.11, X: -159.848, Y: -82.85
113412.14, 5350.1382668, N, 1738.7739230, E, Depth: 2.12, X: -159.946, Y: -82.892
113412.19, 5350.1382152, N, 1738.7738846, E, Depth: 2.12, X: -160.043, Y: -82.935
113412.24, 5350.1381630, N, 1738.7738462, E, Depth: 2.12, X: -160.139, Y: -82.977
113412.29, 5350.1381108, N, 1738.7738078, E, Depth: 2.12, X: -160.236, Y: -83.019
113412.34, 5350.1380586, N, 1738.7737694, E, Depth: 2.12, X: -160.332, Y: -83.061
113412.39, 5350.1380070, N, 1738.7737310, E, Depth: 2.12, X: -160.429, Y: -83.103
113412.44, 5350.1379548, N, 1738.7736926, E, Depth: 2.12, X: -160.525, Y: -83.145
113412.49, 5350.1379032, N, 1738.7736548, E, Depth: 2.12, X: -160.621, Y: -83.187
113412.54, 5350.1378510, N, 1738.7736152, E, Depth: 2.12, X: -160.718, Y: -83.23
113412.59, 5350.1377994, N, 1738.7735762, E, Depth: 2.12, X: -160.814, Y: -83.273
113412.64, 5350.1377472, N, 1738.7735372, E, Depth: 2.12, X: -160.91, Y: -83.316
113412.69, 5350.1376956, N, 1738.7734982, E, Depth: 2.12, X: -161.006, Y: -83.358
113412.74, 5350.1376440, N, 1738.7734616, E, Depth: 2.12, X: -161.102, Y: -83.399
113412.79, 5350.1375924, N, 1738.7734244, E, Depth: 2.12, X: -161.198, Y: -83.44
113412.84, 5350.1375408, N, 1738.7733866, E, Depth: 2.12, X: -161.293, Y: -83.481
113412.89, 5350.1374892, N, 1738.7733494, E, Depth: 2.12, X: -161.389, Y: -83.522
113412.94, 5350.1374376, N, 1738.7733092, E, Depth: 2.12, X: -161.484, Y: -83.566
113412.99, 5350.1373866, N, 1738.7732696, E, Depth: 2.12, X: -161.579, Y: -83.609
113413.04, 5350.1373356, N, 1738.7732306, E, Depth: 2.12, X: -161.674, Y: -83.653
113413.09, 5350.1372840, N, 1738.7731910, E, Depth: 2.12, X: -161.77, Y: -83.696
113413.14, 5350.1372324, N, 1738.7731544, E, Depth: 2.11, X: -161.866, Y: -83.736
113413.19, 5350.1371808, N, 1738.7731172, E, Depth: 2.11, X: -161.961, Y: -83.777
113413.24, 5350.1371292, N, 1738.7730794, E, Depth: 2.11, X: -162.057, Y: -83.818
113413.29, 5350.1370776, N, 1738.7730422, E, Depth: 2.11, X: -162.153, Y: -83.859
113413.34, 5350.1370260, N, 1738.7730026, E, Depth: 2.11, X: -162.248, Y: -83.903
113413.39, 5350.1369744, N, 1738.7729636, E, Depth: 2.11, X: -162.343, Y: -83.945
113413.44, 5350.1369234, N, 1738.7729252, E, Depth: 2.11, X: -162.439, Y: -83.988
113413.49, 5350.1368718, N, 1738.7728862, E, Depth: 2.11, X: -162.535, Y: -84.03
113413.54, 5350.1368190, N, 1738.7728490, E, Depth: 2.1, X: -162.632, Y: -84.071
113413.59, 5350.1367674, N, 1738.7728112, E, Depth: 2.1, X: -162.728, Y: -84.113
113413.64, 5350.1367152, N, 1738.7727734, E, Depth: 2.1, X: -162.825, Y: -84.154
113413.69, 5350.1366630, N, 1738.7727356, E, Depth: 2.1, X: -162.922, Y: -84.196
113413.74, 5350.1366120, N, 1738.7726972, E, Depth: 2.1, X: -163.017, Y: -84.238
113413.79, 5350.1365604, N, 1738.7726588, E, Depth: 2.1, X: -163.112, Y: -84.28
113413.84, 5350.1365088, N, 1738.7726204, E, Depth: 2.1, X: -163.208, Y: -84.322
113413.89, 5350.1364572, N, 1738.7725826, E, Depth: 2.1, X: -163.303, Y: -84.363
113413.94, 5350.1364056, N, 1738.7725454, E, Depth: 2.1, X: -163.4, Y: -84.405
113413.99, 5350.1363534, N, 1738.7725076, E, Depth: 2.1, X: -163.496, Y: -84.446
113414.04, 5350.1363018, N, 1738.7724704, E, Depth: 2.1, X: -163.592, Y: -84.487
113414.09, 5350.1362502, N, 1738.7724326, E, Depth: 2.1, X: -163.688, Y: -84.528
113414.14, 5350.1361980, N, 1738.7723948, E, Depth: 2.11, X: -163.785, Y: -84.57
113414.19, 5350.1361458, N, 1738.7723570, E, Depth: 2.11, X: -163.881, Y: -84.611
113414.24, 5350.1360936, N, 1738.7723192, E, Depth: 2.11, X: -163.978, Y: -84.652
