102104.20, 5350.15617, N, 01738.90315, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102104.40, 5350.15617, N, 01738.90316, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102104.60, 5350.15617, N, 01738.90315, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102104.80, 5350.15618, N, 01738.90314, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102105.00, 5350.15618, N, 01738.90315, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102105.20, 5350.15619, N, 01738.90315, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102105.40, 5350.15619, N, 01738.90315, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102105.60, 5350.15619, N, 01738.90315, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102105.80, 5350.15620, N, 01738.90315, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102106.00, 5350.15621, N, 01738.90316, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102106.20, 5350.15621, N, 01738.90316, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102106.40, 5350.15621, N, 01738.90315, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102106.60, 5350.15622, N, 01738.90315, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
